43,39,43,43,43,41,43,41,43,40,38,42,43,45,44,41,42,43,42,38,42,43,43,43,41,42,44,44,46,42,39,43,39,40,46,44,39,41,44,42,40,41,38,42,45,43,42,43,41,42,43,41,42,42,42,44,41,43,43,43,46,41,44,42
41,43,46,46,43,44,43,44,42,41,40,45,46,46,38,41,41,41,41,41,44,43,40,46,44,41,41,41,44,41,42,41,38,42,41,42,42,42,41,42,40,41,41,43,42,40,42,39,41,43,44,43,43,44,47,42,44,42,40,44,42,41,44,43
43,48,40,42,44,41,41,43,42,44,39,44,42,44,41,42,42,45,41,41,43,41,43,40,41,43,42,38,42,44,40,46,40,42,44,43,40,42,45,44,44,37,44,44,39,42,43,44,41,42,43,43,41,40,41,44,42,42,45,42,43,43,44,44
40,45,42,41,44,43,42,45,40,43,40,43,47,39,44,43,42,40,43,42,42,40,47,43,42,41,44,43,43,43,46,42,42,46,42,43,44,42,40,40,40,45,43,45,43,42,42,42,42,39,44,41,44,45,41,41,39,43,46,41,44,43,43,44
40,45,42,42,40,46,44,43,43,45,46,41,46,42,44,46,42,47,45,42,43,44,43,42,41,42,44,42,46,45,48,39,44,40,42,44,40,41,42,41,41,41,39,41,43,43,43,45,39,42,43,44,45,41,43,37,43,44,43,46,41,43,42,40
46,42,43,42,42,45,40,41,41,44,44,41,44,43,40,47,44,42,46,40,42,45,39,43,42,43,45,39,41,43,43,42,45,40,44,44,40,45,46,46,43,42,44,41,41,40,42,40,43,45,43,42,41,45,45,43,43,43,40,42,43,45,43,45
46,41,41,41,46,43,42,42,42,44,39,40,44,40,41,41,45,42,43,43,43,44,46,38,48,45,43,42,46,40,44,44,42,45,38,40,44,44,48,41,43,43,40,41,45,39,44,38,41,41,46,43,42,41,39,41,41,44,43,42,42,42,48,43
45,43,42,43,43,41,46,42,42,39,42,42,45,44,46,42,44,45,40,40,40,46,43,43,40,43,40,42,43,43,41,45,40,41,44,45,43,43,43,45,45,43,41,45,43,42,39,40,41,41,42,41,39,43,41,41,41,44,44,42,43,45,43,42
46,44,43,42,41,38,43,42,43,43,41,43,42,42,42,43,44,42,47,44,42,43,42,44,43,42,41,43,39,44,45,42,38,42,40,45,43,45,42,40,42,43,39,43,42,41,43,41,43,41,42,44,42,41,40,43,45,41,43,39,40,43,43,44
42,44,42,40,40,42,45,40,41,42,41,41,43,46,44,39,45,45,42,45,42,39,41,43,44,42,48,40,40,42,41,40,41,43,41,44,40,43,43,46,45,38,44,45,40,42,43,44,44,44,40,43,40,42,44,43,42,45,42,45,43,41,44,44
41,44,43,46,40,40,45,41,44,43,44,44,41,43,41,44,42,39,42,41,39,40,43,40,46,45,39,44,41,41,44,43,43,45,42,46,41,41,46,40,42,42,40,41,46,41,44,45,41,42,40,43,43,43,39,44,40,42,42,41,42,43,43,40
